,Lat,Lon,Base,hour,weekday
247333,40.7566,-73.9875,2,13,5
89196,40.7566,-73.972,1,14,0
385867,40.8071,-73.966,3,7,5
169868,40.6448,-73.7824,1,14,0
502292,40.7387,-73.9887,3,22,4
483621,40.7508,-73.9978,3,17,5
227126,40.8031,-74.0981,2,13,4
469227,40.6761,-73.9999,3,22,2
364728,40.7223,-73.9971,3,15,2
254427,40.726,-73.9963,2,15,4
237847,40.7168,-74.0021,2,19,2
80490,40.6828,-73.9276,1,22,6
60565,40.6755,-73.9761,1,21,2
43237,40.7744,-73.9535,1,20,6
557574,40.7543,-73.9741,4,19,6
54725,40.7758,-73.961,1,20,0
102954,40.792,-73.9774,1,5,1
431233,40.7342,-73.9834,3,17,1
471185,40.7918,-73.9531,3,10,3
374590,40.6467,-73.7895,3,17,3
397915,40.726,-74.0094,3,22,6
471858,40.6868,-73.9938,3,13,3
41783,40.7649,-73.9787,1,16,6
191866,40.7913,-73.9533,1,7,1
92067,40.7714,-73.9568,1,21,0
331264,40.7583,-73.9856,3,18,5
302633,40.7401,-73.9845,2,7,0
117022,40.6821,-73.9603,1,19,6
560136,40.7283,-73.9937,4,0,0
107774,40.7032,-73.9896,1,10,5
138966,40.7076,-74.0069,1,16,3
162313,40.7508,-73.9829,1,16,4
396396,40.7199,-74.0003,3,18,6
485728,40.7684,-73.8624,3,21,5
467773,40.727,-73.9803,3,18,2
175624,40.7258,-73.9777,1,23,0
16189,40.7405,-74.0078,0,12,1
525909,40.7228,-73.9776,3,18,3
375264,40.7491,-73.976,3,20,3
294259,40.7792,-73.9472,2,7,6
443566,40.7618,-73.9698,3,11,6
429017,40.7061,-74.0083,3,8,1
445695,40.7153,-74.0465,3,17,6
491487,40.7549,-73.9714,3,18,6
172673,40.7261,-74.0095,1,19,0
303155,40.7694,-73.9519,2,11,0
218653,40.7568,-73.9653,1,23,6
177586,40.6813,-73.956,1,6,2
339584,40.6457,-73.7767,3,20,6
540231,40.7254,-73.9927,3,21,5
421408,40.7118,-73.9434,3,21,2
542991,40.7056,-73.9376,3,8,6
25577,40.7571,-73.9763,0,20,6
201786,40.7501,-73.9731,1,17,5
281056,40.7165,-73.9911,2,9,0
41258,40.7216,-74.0009,1,14,6
91965,40.7497,-73.9915,1,21,0
139546,40.8829,-73.9739,1,18,3
265193,40.7955,-73.9324,2,13,3
523139,40.713,-73.9638,3,7,3
115031,40.7454,-73.977,1,14,6
498542,40.7685,-73.9845,3,16,4
259992,40.763,-73.9878,2,20,0
301530,40.7542,-73.9844,2,21,4
377735,40.7889,-73.9774,3,9,1
521968,40.726,-74.0084,3,0,3
476399,40.7473,-74.0012,3,12,1
48981,40.7273,-73.9826,1,22,4
420000,40.7592,-73.9847,3,19,2
544746,40.7505,-73.9947,3,11,6
50081,40.7625,-73.9636,1,7,0
399389,40.7278,-73.9874,3,7,4
159337,40.7693,-73.9695,1,7,4
178789,40.7086,-73.9485,1,13,2
558178,40.7613,-73.9838,4,17,0
178722,40.7095,-74.0149,1,12,2
87349,40.7808,-73.9788,1,6,0
203380,40.7547,-73.9917,1,19,5
546778,40.7418,-74.0046,3,15,6
153746,40.7641,-73.9668,1,14,6
344750,40.7684,-73.9823,3,16,4
143501,40.727,-74.0349,1,17,1
534119,40.779,-73.9745,3,8,5
78096,40.7691,-73.9828,1,15,6
91997,40.7414,-73.9896,1,21,0
531334,40.7325,-73.995,3,18,1
160372,40.7777,-73.9632,1,11,4
182940,40.7225,-73.9549,1,20,2
177988,40.6462,-73.7769,1,9,2
315744,40.7279,-74.0012,2,20,1
473147,40.7253,-73.9764,3,18,3
359496,40.7295,-73.9899,3,21,0
294126,40.7783,-73.9852,2,6,6
256624,40.6914,-73.9597,2,0,0
358399,40.7342,-73.9998,3,19,0
256191,40.74,-73.9989,2,21,4
277437,40.7275,-73.9795,2,11,4
242132,40.7368,-73.9802,2,6,1
441082,40.7481,-73.9712,3,22,5
424970,40.7806,-73.9604,3,13,3
380965,40.7606,-73.9763,3,17,1
498024,40.7607,-73.9798,3,15,4
265357,40.7367,-73.9871,2,14,3
558853,40.6888,-73.9052,4,17,3
444965,40.7691,-73.9811,3,16,6
107570,40.6892,-73.9848,1,9,5
129474,40.7222,-73.9961,1,18,0
407391,40.7443,-73.9854,3,6,0
332674,40.7403,-74.0058,3,21,5
79677,40.7592,-73.9726,1,19,6
139809,40.7549,-73.9716,1,19,3
153346,40.721,-74.0099,1,12,6
310251,40.7519,-73.9768,2,22,2
88852,40.7109,-73.9667,1,13,0
23475,40.7406,-74.0078,0,18,1
540677,40.7528,-73.9793,3,21,5
25557,40.7605,-73.9813,0,19,6
138801,40.724,-74.0024,1,15,3
11297,40.7605,-73.9858,0,22,6
31960,40.7243,-74.0092,0,6,5
276543,40.6809,-73.9899,2,4,4
290700,40.7349,-73.9887,2,23,1
250789,40.7337,-73.9555,2,15,6
468489,40.7106,-73.9664,3,20,2
514808,40.7739,-73.8714,3,11,2
284997,40.6457,-73.7767,2,15,2
46776,40.7433,-73.9961,1,17,4
487705,40.7488,-73.9923,3,8,6
463886,40.7657,-73.9763,3,23,0
61243,40.7345,-74.0022,1,22,2
162967,40.7129,-74.0095,1,17,4
303313,40.7386,-73.9855,2,12,0
360858,40.7226,-74.0036,3,22,0
548788,40.7121,-74.0086,3,17,6
374694,40.6838,-73.954,3,18,3
335284,40.6803,-73.9173,3,11,6
74463,40.7486,-74.0061,1,18,5
37407,40.7495,-73.9754,1,15,5
133513,40.7305,-74.0018,1,14,2
309515,40.747,-73.9808,2,20,2
467228,40.72,-73.996,3,17,2
165330,40.7409,-74.0078,1,21,4
262450,40.7273,-73.9807,2,17,2
15481,40.7549,-74.0062,0,14,3
77985,40.7587,-73.9893,1,14,6
290374,40.7637,-73.9754,2,20,1
361824,40.741,-73.9883,3,0,2
348022,40.749,-73.9905,3,21,4
549883,40.7154,-74.0148,3,18,6
60769,40.7152,-73.9368,1,21,2
257643,40.6952,-74.1786,2,10,0
151387,40.7772,-73.9857,1,5,6
388023,40.7552,-73.9654,3,15,5
207818,40.7296,-73.9805,1,9,6
296207,40.7461,-73.981,2,17,6
160870,40.6668,-73.9849,1,13,4
561247,40.7231,-73.9931,4,8,5
294029,40.703,-73.9876,2,6,6
118088,40.7428,-73.9828,1,21,6
471569,40.6597,-73.945,3,12,3
204332,40.7683,-73.9823,1,21,5
484871,40.7108,-73.9448,3,19,5
300657,40.7724,-73.965,2,19,4
263981,40.742,-74.0045,2,23,2
521120,40.7223,-73.9917,3,22,2
474418,40.7436,-74.0034,3,0,1
518318,40.7257,-73.9971,3,18,2
372963,40.7582,-73.9854,3,12,3
266081,40.7272,-74.0063,2,20,3
46257,40.6834,-73.9666,1,16,4
272027,40.7421,-74.0007,2,20,5
289066,40.7425,-73.9996,2,9,1
548781,40.7522,-73.9856,3,17,6
119679,40.6717,-73.9349,1,8,4
375304,40.6465,-73.7897,3,20,3
131213,40.7181,-73.9596,1,22,0
380907,40.7025,-73.9897,3,17,1
194642,40.7685,-73.8625,1,17,1
43026,40.7758,-73.9491,1,20,6
430234,40.6449,-73.7824,3,14,1
209685,40.7245,-74.0059,1,13,6
373999,40.7714,-73.9635,3,16,3
532652,40.7348,-73.9909,3,21,1
33224,40.7304,-74.0014,0,21,5
441998,40.7767,-73.9771,3,6,6
93464,40.7187,-73.989,1,3,2
276629,40.6963,-73.9971,2,6,4
464886,40.7238,-74.0035,3,5,2
534626,40.6465,-73.7898,3,9,5
301079,40.7556,-73.9728,2,20,4
545512,40.7256,-73.9769,3,13,6
6716,40.7629,-73.9825,0,21,2
377792,40.7417,-74.0071,3,9,1
303656,40.7504,-73.9789,2,14,0
534286,40.7433,-74.0074,3,8,5
210045,40.7955,-73.9323,1,13,6
550460,40.72,-73.9989,3,18,6
3769,40.7502,-73.9949,0,22,4
221189,40.7363,-73.9922,2,18,5
73706,40.7509,-73.9784,1,16,5
177068,40.7293,-73.9869,1,2,2
489505,40.726,-73.9836,3,15,6
270669,40.7296,-74.0081,2,16,5
428177,40.7367,-74.0012,3,6,1
555370,40.7231,-73.8579,4,12,4
231577,40.7685,-73.8623,2,13,0
510446,40.7303,-74.0002,3,21,0
534487,40.727,-73.9804,3,9,5
124038,40.7613,-73.9799,1,20,4
312700,40.8926,-73.8359,2,17,3
385129,40.7752,-73.9458,3,6,5
390148,40.7309,-73.9594,3,20,5
169089,40.7366,-73.9975,1,12,0
194222,40.7749,-73.9909,1,16,1
130176,40.6946,-73.9265,1,20,0
393464,40.7361,-73.9879,3,11,6
364495,40.7477,-73.9855,3,15,2
245825,40.7554,-73.977,2,23,1
461877,40.7605,-73.9911,3,19,0
1727,40.7587,-73.9729,0,16,6
259908,40.7703,-73.9567,2,20,0
338294,40.7385,-73.9855,3,18,6
482056,40.722,-74.0018,3,14,5
28998,40.7634,-73.9774,0,13,2
510588,40.7447,-73.9917,3,21,0
296002,40.7466,-73.99,2,17,6
120454,40.7697,-73.9854,1,11,4
141095,40.7716,-73.9509,1,7,1
426813,40.7615,-73.9746,3,19,3
46744,40.7467,-74.0074,1,17,4
69064,40.7145,-74.0103,1,17,1
390140,40.7502,-73.94,3,20,5
84261,40.7427,-73.9924,1,17,4
161010,40.8154,-74.0776,1,13,4
134495,40.7178,-74.0032,1,17,2
511717,40.7225,-73.9916,3,23,0
203699,40.7615,-73.9098,1,20,5
221464,40.7525,-73.9903,2,19,5
91144,40.7639,-73.9764,1,19,0
161858,40.7465,-73.9954,1,15,4
456786,40.7078,-73.9461,3,23,4
276236,40.7334,-73.9972,2,22,6
159359,40.7922,-73.9679,1,7,4
324431,40.7503,-73.9748,2,18,6
531825,40.7663,-73.9818,3,19,1
187537,40.7231,-73.9528,1,11,3
299342,40.7256,-73.9974,2,14,4
213273,40.6677,-73.7958,1,17,6
329979,40.7626,-73.9721,3,15,5
1377,40.7715,-73.965,0,10,6
402763,40.7593,-73.979,3,16,4
493951,40.7264,-74.0057,3,23,6
153333,40.7653,-73.9797,1,12,6
8346,40.7481,-73.9853,0,16,1
96286,40.77,-73.963,1,18,2
185382,40.7271,-73.9797,1,23,2
439294,40.7563,-73.9789,3,20,5
268797,40.7065,-74.0065,2,1,5
326442,40.7413,-73.9866,2,22,6
407923,40.7355,-74.0033,3,7,0
563993,40.717,-74.0144,4,8,6
343631,40.7412,-73.9898,3,14,4
56649,40.6624,-73.9508,1,0,2
240337,40.7224,-73.9931,2,12,3
6960,40.7287,-74.0027,0,23,2
214416,40.835,-73.9158,1,18,6
81584,40.747,-73.9905,1,7,4
420139,40.7553,-73.9869,3,19,2
361984,40.6822,-73.9799,3,1,2
414483,40.7751,-73.9593,3,22,0
503888,40.7736,-73.9855,3,7,0
496654,40.7574,-73.9753,3,12,4
355505,40.7388,-74.0055,3,16,0
326584,40.7169,-74.0084,2,22,6
445340,40.7142,-74.0149,3,16,6
399350,40.7657,-73.9707,3,7,4
493692,40.7363,-73.9966,3,22,6
510136,40.7572,-73.9812,3,21,0
372955,40.7206,-74.0028,3,12,3
325243,40.7414,-73.9912,2,19,6
199681,40.7744,-73.9638,1,14,5
307378,40.7361,-74.0043,2,10,2
68471,40.7564,-73.9973,1,16,1
415141,40.6496,-73.964,3,23,0
108998,40.7503,-73.9811,1,15,5
211266,40.7789,-73.9564,1,15,6
80008,40.7625,-73.9716,1,20,6
377983,40.7842,-73.983,3,10,1
489994,40.7393,-74.0055,3,16,6
268097,40.7089,-74.0091,2,17,1
115018,40.7903,-73.967,1,14,6
283986,40.7975,-73.9609,2,2,2
272955,40.7587,-73.9789,2,1,6
107272,40.7297,-73.9747,1,8,5
353840,40.7568,-73.9721,3,14,0
224327,40.6933,-73.9732,2,17,6
112422,40.7145,-74.0104,1,21,5
167741,40.7639,-73.9683,1,7,0
289926,40.7092,-74.0021,2,17,1
65439,40.9,-73.8464,1,21,3
