,Date/Time,Lat,Lon,Base
143,9/1/2014 11:07:00,40.7828,-73.9772,B02512
20529,9/17/2014 6:17:00,40.7758,-73.9589,B02512
241328,9/26/2014 14:40:00,40.7328,-73.9999,B02598
9947,9/8/2014 17:44:00,40.7904,-73.9757,B02512
246701,9/27/2014 0:40:00,40.7302,-73.9895,B02598
356757,9/7/2014 5:04:00,40.6472,-73.9606,B02617
502993,9/18/2014 16:06:00,40.7697,-73.9646,B02617
233317,9/25/2014 13:52:00,40.7101,-74.0077,B02598
216366,9/23/2014 7:08:00,40.7798,-73.9879,B02598
617070,9/27/2014 20:14:00,40.6535,-73.9561,B02617
579651,9/24/2014 20:57:00,40.6462,-73.7768,B02617
551578,9/22/2014 9:14:00,40.7215,-73.9801,B02617
480104,9/16/2014 18:49:00,40.7535,-73.9794,B02617
29662,9/25/2014 20:26:00,40.7299,-74.1597,B02512
932731,9/17/2014 18:09:00,40.7453,-73.9869,B02764
90882,9/8/2014 5:09:00,40.7683,-73.9204,B02598
479968,9/16/2014 18:41:00,40.7424,-73.9848,B02617
891780,9/10/2014 17:54:00,40.782,-73.9515,B02764
772294,9/18/2014 19:08:00,40.7699,-73.8643,B02682
576652,9/24/2014 17:00:00,40.7788,-73.9461,B02617
988408,9/25/2014 22:15:00,40.6789,-73.9709,B02764
860659,9/4/2014 8:21:00,40.7526,-73.9732,B02764
136418,9/13/2014 12:46:00,40.7982,-73.9485,B02598
22238,9/18/2014 16:17:00,40.7661,-73.978,B02512
282606,9/1/2014 22:35:00,40.7271,-73.9913,B02617
664510,9/3/2014 12:26:00,40.7308,-73.9912,B02682
679550,9/5/2014 13:52:00,40.7624,-73.9751,B02682
1005701,9/27/2014 21:50:00,40.8292,-73.8195,B02764
597699,9/26/2014 11:36:00,40.7758,-73.9476,B02617
290890,9/2/2014 17:57:00,40.7684,-73.8623,B02617
660338,9/2/2014 17:53:00,40.7,-73.9081,B02682
324017,9/5/2014 6:20:00,40.7745,-73.964,B02617
881216,9/8/2014 14:20:00,40.7836,-73.9752,B02764
863685,9/4/2014 20:19:00,40.6953,-73.9909,B02764
983194,9/25/2014 10:44:00,40.777,-73.9867,B02764
520665,9/19/2014 19:05:00,40.7741,-73.8724,B02617
922138,9/15/2014 21:20:00,40.725,-73.9952,B02764
444523,9/13/2014 19:36:00,40.7634,-73.9564,B02617
792163,9/21/2014 11:44:00,40.6989,-73.993,B02682
481863,9/16/2014 20:58:00,40.6949,-74.1778,B02617
230185,9/25/2014 6:34:00,40.7622,-73.9256,B02598
1007316,9/28/2014 0:12:00,40.7058,-73.9082,B02764
583426,9/25/2014 7:53:00,40.7237,-73.9883,B02617
722999,9/11/2014 17:02:00,40.7095,-74.0102,B02682
60633,9/4/2014 18:57:00,40.7514,-73.9938,B02598
797430,9/22/2014 11:25:00,40.737,-73.9792,B02682
351090,9/6/2014 20:35:00,40.6114,-73.9129,B02617
762678,9/17/2014 13:51:00,40.7725,-73.9465,B02682
460028,9/15/2014 5:24:00,40.7514,-73.8856,B02617
191820,9/19/2014 20:56:00,40.7439,-74.0066,B02598
994122,9/26/2014 18:36:00,40.7457,-73.9798,B02764
459413,9/15/2014 0:18:00,40.7301,-73.9808,B02617
27344,9/23/2014 13:17:00,40.7432,-73.9818,B02512
985744,9/25/2014 17:01:00,40.7787,-73.9867,B02764
282772,9/1/2014 23:14:00,40.73,-74.0021,B02617
186992,9/19/2014 12:53:00,40.6863,-73.824,B02598
798501,9/22/2014 15:44:00,40.7739,-73.8716,B02682
